Property ID,Title,URL,Price,TotalPrice,Latitude,Longitude,LatLong,Rating Badge,Rating Description,Number of Reviews,Check-in Date,Check-out Date,Region ID,Destination,Price (top_dp),Currency (top_cur),Room Type,Rate Plan,Neighborhood ID,Privacy Tracking State,Search ID,User Intent,Referrer URL,PWA Timestamp,Sleeps,Bedrooms,Bathrooms
3230339,"Coastal Getaway, Everglades City",/3230339?chkin=2024-12-01&chkout=2025-01-31&d1=2024-12-01&d2=2025-01-31&startDate=2024-12-01&endDate=2025-01-31&x_pwa=1&rfrr=HSR&pwa_ts=1721372156361&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=6233839&destination=Southwest+Florida%2C+Florida%2C+United+States+of+America&destType=MARKET&latLong=26.682838%2C-81.795225&privacyTrackingState=CAN_TRACK&searchId=32f7d137-c516-4564-92ed-c5b23f0a7350&sort=RECOMMENDED&top_dp=203&top_cur=USD&userIntent=&selectedRoomType=91023344&selectedRatePlan=00049a9280a8ad184e20b1119e1c20c97582&expediaPropertyId=91023344&propertyName=Coastal+Getaway%2C+Everglades+City,$225 ,"$13,402 ",26.682838,-81.795225,"26.682838,-81.795225",10,Exceptional,12,12/1/24,1/31/25,6233839,"Southwest Florida, Florida, United States of America",203,USD,91023344,00049a9280a8ad184e20b1119e1c20c97582,N/A,CAN_TRACK,32f7d137-c516-4564-92ed-c5b23f0a7350,N/A,aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo,1.72137E+12,6,2,2
7850036ha,Anna Maria Sunsets - studio,/7850036ha?chkin=2024-12-01&chkout=2025-01-31&d1=2024-12-01&d2=2025-01-31&startDate=2024-12-01&endDate=2025-01-31&x_pwa=1&rfrr=HSR&pwa_ts=1721372160716&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=6233839&destination=Southwest+Florida%2C+Florida%2C+United+States+of+America&destType=MARKET&latLong=26.682838%2C-81.795225&privacyTrackingState=CAN_TRACK&searchId=73ffef74-c4d9-4b5b-aa02-3aadfdf3be48&sort=RECOMMENDED&top_dp=155&top_cur=USD&userIntent=&selectedRoomType=39524590&selectedRatePlan=00009aaf5411066142838f62c9be4f8eafb6&expediaPropertyId=39524590&propertyName=Anna+Maria+Sunsets+-+studio,$155 ,"$10,116 ",26.682838,-81.795225,"26.682838,-81.795225",Premier Host,Exceptional,188,12/1/24,1/31/25,6233839,"Southwest Florida, Florida, United States of America",155,USD,39524590,00009aaf5411066142838f62c9be4f8eafb6,N/A,CAN_TRACK,73ffef74-c4d9-4b5b-aa02-3aadfdf3be48,N/A,aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo,1.72137E+12,4,N/A,N/A
443943,Sarasota “Executive Waterfront Suite” A  hotel rm # 103 on Sara Bay Marina,/443943?chkin=2024-12-01&chkout=2025-01-31&d1=2024-12-01&d2=2025-01-31&startDate=2024-12-01&endDate=2025-01-31&x_pwa=1&rfrr=HSR&pwa_ts=1721372160716&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=6233839&destination=Southwest+Florida%2C+Florida%2C+United+States+of+America&destType=MARKET&neighborhoodId=553248635975874486&latLong=26.682838%2C-81.795225&privacyTrackingState=CAN_TRACK&searchId=73ffef74-c4d9-4b5b-aa02-3aadfdf3be48&sort=RECOMMENDED&top_dp=71&top_cur=USD&userIntent=&selectedRoomType=33506835&selectedRatePlan=00047990c373e16c4e7c87388553cf0fbeb8&expediaPropertyId=33506835&propertyName=Sarasota+%E2%80%9CExecutive+Waterfront+Suite%E2%80%9D+A++hotel+rm+%23+103+on+Sara+Bay+Marina,$78 ,"$4,634 ",26.682838,-81.795225,"26.682838,-81.795225",Premier Host,Excellent,124,12/1/24,1/31/25,6233839,"Southwest Florida, Florida, United States of America",71,USD,33506835,00047990c373e16c4e7c87388553cf0fbeb8,5.53249E+17,CAN_TRACK,73ffef74-c4d9-4b5b-aa02-3aadfdf3be48,N/A,aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo,1.72137E+12,2,N/A,N/A
2429467,1Bedroom✔1Bathroom✔ Livingroom✔ Beach Get Away✔ Pool access✔ Quite,/2429467?chkin=2024-12-01&chkout=2025-01-31&d1=2024-12-01&d2=2025-01-31&startDate=2024-12-01&endDate=2025-01-31&x_pwa=1&rfrr=HSR&pwa_ts=1721372160717&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=6233839&destination=Southwest+Florida%2C+Florida%2C+United+States+of+America&destType=MARKET&latLong=26.682838%2C-81.795225&privacyTrackingState=CAN_TRACK&searchId=73ffef74-c4d9-4b5b-aa02-3aadfdf3be48&sort=RECOMMENDED&top_dp=66&top_cur=USD&userIntent=&selectedRoomType=70434724&selectedRatePlan=0004cf1b0b1f766a4a50ae6a4dcba45f5df9&expediaPropertyId=70434724&propertyName=1Bedroom%E2%9C%941Bathroom%E2%9C%94+Livingroom%E2%9C%94+Beach+Get+Away%E2%9C%94+Pool+access%E2%9C%94+Quite,$88 ,"$4,401 ",26.682838,-81.795225,"26.682838,-81.795225",9.2,Wonderful,40,12/1/24,1/31/25,6233839,"Southwest Florida, Florida, United States of America",66,USD,70434724,0004cf1b0b1f766a4a50ae6a4dcba45f5df9,N/A,CAN_TRACK,73ffef74-c4d9-4b5b-aa02-3aadfdf3be48,N/A,aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo,1.72137E+12,3,2,N/A
3641524,Luxurious bungalow in Longboat Key,/3641524?chkin=2024-12-01&chkout=2025-01-31&d1=2024-12-01&d2=2025-01-31&startDate=2024-12-01&endDate=2025-01-31&x_pwa=1&rfrr=HSR&pwa_ts=1721372160717&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=6233839&destination=Southwest+Florida%2C+Florida%2C+United+States+of+America&destType=MARKET&latLong=26.682838%2C-81.795225&privacyTrackingState=CAN_TRACK&searchId=73ffef74-c4d9-4b5b-aa02-3aadfdf3be48&sort=RECOMMENDED&top_dp=249&top_cur=USD&userIntent=&selectedRoomType=99460098&selectedRatePlan=00041a996186340b4c45bdc4fa2498dce5c4&expediaPropertyId=99460098&propertyName=Luxurious+bungalow+in+Longboat+Key,$249 ,"$16,277 ",26.682838,-81.795225,"26.682838,-81.795225",10,Exceptional,15,12/1/24,1/31/25,6233839,"Southwest Florida, Florida, United States of America",249,USD,99460098,00041a996186340b4c45bdc4fa2498dce5c4,N/A,CAN_TRACK,73ffef74-c4d9-4b5b-aa02-3aadfdf3be48,N/A,aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo,1.72137E+12,3,N/A,N/A
46223,Spectacular Beachfront Living on Casey Key,/46223?chkin=2024-12-01&chkout=2025-01-31&d1=2024-12-01&d2=2025-01-31&startDate=2024-12-01&endDate=2025-01-31&x_pwa=1&rfrr=HSR&pwa_ts=1721372160718&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=6233839&destination=Southwest+Florida%2C+Florida%2C+United+States+of+America&destType=MARKET&latLong=26.682838%2C-81.795225&privacyTrackingState=CAN_TRACK&searchId=73ffef74-c4d9-4b5b-aa02-3aadfdf3be48&sort=RECOMMENDED&top_dp=329&top_cur=USD&userIntent=&selectedRoomType=33959954&selectedRatePlan=000488bf7c14ff7f4a0a871f32bbc86c3a7a&expediaPropertyId=33959954&propertyName=Spectacular+Beachfront+Living+on+Casey+Key,$356 ,"$21,079 ",26.682838,-81.795225,"26.682838,-81.795225",10,Exceptional,117,12/1/24,1/31/25,6233839,"Southwest Florida, Florida, United States of America",329,USD,33959954,000488bf7c14ff7f4a0a871f32bbc86c3a7a,N/A,CAN_TRACK,73ffef74-c4d9-4b5b-aa02-3aadfdf3be48,N/A,aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo,1.72137E+12,2,N/A,N/A
2632810,"New to Market! Spacious Beach Retreat, Steps to Sugary Sand, Conveniences and Fun!",/2632810?chkin=2024-12-01&chkout=2025-01-31&d1=2024-12-01&d2=2025-01-31&startDate=2024-12-01&endDate=2025-01-31&x_pwa=1&rfrr=HSR&pwa_ts=1721372160719&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=6233839&destination=Southwest+Florida%2C+Florida%2C+United+States+of+America&destType=MARKET&neighborhoodId=553248635976472049&latLong=26.682838%2C-81.795225&privacyTrackingState=CAN_TRACK&searchId=73ffef74-c4d9-4b5b-aa02-3aadfdf3be48&sort=RECOMMENDED&top_dp=209&top_cur=USD&userIntent=&selectedRoomType=74732157&selectedRatePlan=00047a236582dfea4228b5326bb8048436e5&expediaPropertyId=74732157&propertyName=New+to+Market%21+Spacious+Beach+Retreat%2C+Steps+to+Sugary+Sand%2C+Conveniences+and+Fun%21,$209 ,"$14,691 ",26.682838,-81.795225,"26.682838,-81.795225",8,Very Good,32,12/1/24,1/31/25,6233839,"Southwest Florida, Florida, United States of America",209,USD,74732157,00047a236582dfea4228b5326bb8048436e5,5.53249E+17,CAN_TRACK,73ffef74-c4d9-4b5b-aa02-3aadfdf3be48,N/A,aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo,1.72137E+12,6,2,2
2243665,Resort-Style Ground Floor Suite Heated Pool/Spa 🐢,/2243665?chkin=2024-12-01&chkout=2025-01-31&d1=2024-12-01&d2=2025-01-31&startDate=2024-12-01&endDate=2025-01-31&x_pwa=1&rfrr=HSR&pwa_ts=1721372160719&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=6233839&destination=Southwest+Florida%2C+Florida%2C+United+States+of+America&destType=MARKET&latLong=26.682838%2C-81.795225&privacyTrackingState=CAN_TRACK&searchId=73ffef74-c4d9-4b5b-aa02-3aadfdf3be48&sort=RECOMMENDED&top_dp=353&top_cur=USD&userIntent=&selectedRoomType=65994030&selectedRatePlan=0004cdeb1d6e5baa4b2d916eed2a1b61d6c5&expediaPropertyId=65994030&propertyName=Resort-Style+Ground+Floor+Suite+Heated+Pool%2FSpa+%F0%9F%90%A2,$353 ,"$23,027 ",26.682838,-81.795225,"26.682838,-81.795225",9.8,Exceptional,49,12/1/24,1/31/25,6233839,"Southwest Florida, Florida, United States of America",353,USD,65994030,0004cdeb1d6e5baa4b2d916eed2a1b61d6c5,N/A,CAN_TRACK,73ffef74-c4d9-4b5b-aa02-3aadfdf3be48,N/A,aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo,1.72137E+12,2,N/A,N/A
7632003ha,"THE BEACH, condo #107, PRIVATE BEACH ",/7632003ha?chkin=2024-12-01&chkout=2025-01-31&d1=2024-12-01&d2=2025-01-31&startDate=2024-12-01&endDate=2025-01-31&x_pwa=1&rfrr=HSR&pwa_ts=1721372160719&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=6233839&destination=Southwest+Florida%2C+Florida%2C+United+States+of+America&destType=MARKET&latLong=26.682838%2C-81.795225&privacyTrackingState=CAN_TRACK&searchId=73ffef74-c4d9-4b5b-aa02-3aadfdf3be48&sort=RECOMMENDED&top_dp=271&top_cur=USD&userIntent=&selectedRoomType=35541645&selectedRatePlan=0000a461719f54c945ecaf2b653be845b8c5&expediaPropertyId=35541645&propertyName=THE+BEACH%2C+condo+%23107%2C+PRIVATE+BEACH+,$277 ,"$17,490 ",26.682838,-81.795225,"26.682838,-81.795225",9.8,Exceptional,58,12/1/24,1/31/25,6233839,"Southwest Florida, Florida, United States of America",271,USD,35541645,0000a461719f54c945ecaf2b653be845b8c5,N/A,CAN_TRACK,73ffef74-c4d9-4b5b-aa02-3aadfdf3be48,N/A,aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo,1.72137E+12,4,N/A,N/A
514773,Panoramic Ocean View Apartment ,/514773?chkin=2024-12-01&chkout=2025-01-31&d1=2024-12-01&d2=2025-01-31&startDate=2024-12-01&endDate=2025-01-31&x_pwa=1&rfrr=HSR&pwa_ts=1721372160719&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&regionId=6233839&destination=Southwest+Florida%2C+Florida%2C+United+States+of+America&destType=MARKET&latLong=26.682838%2C-81.795225&privacyTrackingState=CAN_TRACK&searchId=73ffef74-c4d9-4b5b-aa02-3aadfdf3be48&sort=RECOMMENDED&top_dp=306&top_cur=USD&userIntent=&selectedRoomType=34389500&selectedRatePlan=000414dab620a496435a9359661b64b17a64&expediaPropertyId=34389500&propertyName=Panoramic+Ocean+View+Apartment+,$340 ,"$20,263 ",26.682838,-81.795225,"26.682838,-81.795225",8.8,Excellent,82,12/1/24,1/31/25,6233839,"Southwest Florida, Florida, United States of America",306,USD,34389500,000414dab620a496435a9359661b64b17a64,N/A,CAN_TRACK,73ffef74-c4d9-4b5b-aa02-3aadfdf3be48,N/A,aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo,1.72137E+12,6,2,2
